,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,KuCoin Token (KCS),"$709,570,531.00",6213,https://www.kucoin.com/
1,2,0x039b5649a59967e3e936d7471f9c3700100ee1ab,Kucoin Shares,$0.00,62650,https://www.kucoin.com/
