,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x9bde098be22658d057c3f1f185e3fd4653e2fbd1,Liquidity In...  (LBI),$0.00,3,https://kp2r.network/
1,2,0xEdDE96c34A8E1972C41cA247053035e7E49687C4,Governance  (),$0.00,-,
2,3,0xC082957Bb1b8C2BA67CFaD2D850f271A6261Bf30,KP2R.Network  (KP2R),$0.00,2690,https://kp2r.network/
