,#,Contract Address,Token Name,Market Cap,Holders,Website,Address
0,1,0x12BB89...c9289040,Radio Caca V...  (RACA),"$72,965,982.00",5482,https://www.raca3.com/,0x12bb890508c125661e03b09ec06e404bc9289040
1,2,0x4b520c...6C83588D,Decentral Ga...  (DG),"$24,612,844.00",3348,https://decentral.games,0x4b520c812e8430659fc9f12f6d0c39026c83588d
2,3,0xDf8014...129739f4,Somnium Spac...  (CUBE),"$16,379,575.00",4499,https://www.somniumspace.com,0xdf801468a808a32656d2ed2d2d80b72a129739f4
3,4,0x4f81C7...C8C71c8d,Decentral Ga...  (xDG),"$15,817,423.00",3034,https://decentral.games,0x4f81c790581b240a5c948afd173620ecc8c71c8d
4,5,0xDC3499...f43Df695,Bezoge Earth  (BEZOGE),"$13,671,043.00",30399,https://www.bezoge.com/,0xdc349913d53b446485e98b76800b6254f43df695
5,6,0x4B19C7...7eaBc279,Gamium [via ...  (GMM),"$11,256,937.00",57,https://gamium.world/,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279
6,7,0x21BfBD...A9B23697,OVR  (OVR),"$9,515,615.00",17227,https://www.ovr.ai/,0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697
7,8,0xf6e06B...499a6134,Celestial  (Celt),"$9,077,479.00",182,https://celt.game/,0xf6e06b54855eff198a2d9a8686113665499a6134
8,9,0x6D6146...df66C810,Skeb Coin  (SKEB),"$5,486,299.00",1259,https://skebcoin.com/,0x6D614686550B9E1c1DF4b2cD8f91C9D4df66C810
9,10,0xCd1fAF...bA1a62Fe,Torum  (XTM),"$4,658,063.00",1979,https://intro.torum.com/,0xcd1faff6e578fa5cac469d2418c95671ba1a62fe
10,11,0xDB5C3C...4e5fed9c,Neos Credits  (NCR),"$3,803,471.00",4972,https://neos.com/,0xdb5c3c46e28b53a39c255aa39a411dd64e5fed9c
11,12,0x83E9F2...a26c475A,BlockchainSp...  (GUILD),"$1,880,641.00",3618,https://www.blockchainspace.asia/,0x83e9f223e1edb3486f876ee888d76bfba26c475a
12,13,0x9F7fC6...1533094b,Trace Networ...  (TRACE),"$1,255,664.00",339,https://trace.network/,0x9f7fc686cfd64aa5ae15b351d03071e91533094b
13,14,0x47b9F0...F6403957,ONSTON  (ONSTON),"$1,123,775.00",5132,https://onston.network/,0x47b9f01b16e9c9cb99191dca68c9cc5bf6403957
14,15,0xd52AAE...Ef702B15,MetaBrands  (MAGE),"$355,158.00",1207,http://metabrands.io/,0xd52aae39a2b5cc7812f7b9450ebb61dfef702b15
15,16,0xbBa6C7...7fcB6bc3,Lepasa  (LEPA),"$152,318.00",63,https://www.lepasa.com,0xbba6c7c7d673c48d90069ad2e9d2fe587fcb6bc3
16,17,0xeff3f1...535F5EcD,Squawk  (SQUAWK),"$11,859.00",2004,https://squawk.finance/,0xeff3f1b9400D6D0f1E8805BddE592F61535F5EcD
17,18,0x39Ea10...199579B8,DeltaFlare  (HONR),$0.00,307,https://deltaflare.gg/,0x39Ea10E507720783C27eDd5F96Bf2D6e199579B8
18,19,0x76815D...d35b4962,PartyLand  (PLD),$0.00,-,https://partyland.io/,0x76815db68ada44ad4351bda6b3b669e6d35b4962
19,20,0xA7f75B...047455c7,Candle  (CNDL),$0.00,1,https://candlelabs.org/,0xa7f75b22384ff06b1228ef82e075e30f047455c7
20,21,0x638F24...207090dc,SlimeCoin  (SLIME),$0.00,902,https://www.squishiverse.com,0x638f24096ff33e047e05e59fabc76325207090dc
21,22,0xc569c3...f2DE883D,Pickle Point  (NYBPP),$0.00,568,https://notyourbro.co/,0xc569c38373a66cead87d927bc6478f58f2de883d
22,23,0x7789ee...F1011338,The Digital ...  (LABORA...),$0.00,-,https://digitaldogs.ai/,0x7789eeaf7a1040377A77cfc2C35A6a7BF1011338
23,24,0xe15B04...B1AB5215,Sybilverse  (SYBIL),$0.00,-,https://www.smplverse.xyz/sybilverse,0xe15B045EBcE82692FFCBa6307A951bE1B1AB5215
24,25,0x964DA6...449378ac,SafeObol  (SOB),$0.00,10,https://safeobol.com/,0x964DA6849423CBDd36768DBd227A5674449378ac
25,26,0xB5c578...438bD0de,Decentralize...  (DEVT),$0.00,2463,https://www.dehorizon.fun/,0xB5c578947de0fd71303F71F2C3d41767438bD0de
26,27,0x7a18dD...aFD05aAE,Astral Pione...  (APIC),$0.00,1,https://www.astralpioneers.com/,0x7a18dDFf158D695CA02A7A8C0268Eea1aFD05aAE
27,28,0x171d76...041ED604,META OCTAGON  (MOTG),$0.00,10256,https://metaoctagon.io/,0x171d76d931529384639bc9aad5b77b77041ed604
