,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7,Aavegotchi GHST Token (PoS) (GHST),"$57,031,037.00",133892,
1,2,0x42e5e06ef5b90fe15f853f59299fc96259209c5c,Aavegotchi KEK (KEK),"$190,668.00",29330,
2,3,0x44a6e0be76e1d9620a7f76588e4509fe4fa8e8c8,Aavegotchi FOMO (FOMO),"$160,765.00",35082,
3,4,0x6a3e7c3c6ef65ee26975b12293ca1aad7e1daed2,Aavegotchi ALPHA (ALPHA),"$105,105.00",32066,
4,5,0x403e967b044d4be25170310157cb1a4bf10bdd0f,Aavegotchi FUD (FUD),"$102,349.00",35930,
